Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
C43-C44 Malignant neoplasms of skin,62527,34321,1295,55610,47.0,33.0,4.8,2.0,70,82,14368,20999.0,27546,48860,64046.0,2002
C45-C49 Malignant neoplasms of mesothelial and soft tissue,10982,7337,2528,4472,20.0,10.0,8.4,4.0,53,1279,4562,4082.0,2216,3810,59264.0,2002
C50 Malignant neoplasm of breast,111473,777,7136,55677,19.0,12.0,6.3,4.0,56,2,71723,31502.0,10602,67172,269366.0,2002
C51-C58 Malignant neoplasms of female genital organs,53417,27,7164,24647,20.0,12.0,7.8,5.0,61,144,23697,22633.0,9851,24968,217299.0,2002
C60-C63 Malignant neoplasms of male genital organs,40216,44158,8113,21636,43.0,24.0,8.6,5.0,67,231,9216,17891.0,16800,15927,204897.0,2002
C64-C68 Malignant neoplasms of urinary tract,87606,67736,7325,47445,45.0,27.0,6.7,3.0,69,2052,13676,38884.0,38210,41977,300850.0,2002
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16236,10298,4973,4417,28.0,12.0,12.3,6.0,36,5896,7340,3781.0,1514,5796,123448.0,2002
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",78869,36332,23363,25532,19.0,8.0,10.6,6.0,61,2518,32898,35035.0,20721,31451,503982.0,2002
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",211581,128739,25448,88077,11.0,4.0,9.3,3.0,53,22848,89453,72423.0,36421,154979,511743.0,2002
D00-D48 In situ & benign neoplasms and others of uncertainty,286377,124055,14637,212833,78.0,42.0,5.5,3.0,54,10803,155233,73752.0,56163,201246,452974.0,2002
D50-D64 Anaemias,111602,55088,34389,45221,32.0,13.0,7.2,3.0,57,7949,46596,30162.0,47767,62836,344573.0,2002
D65-D89 Diseases of the blood and blood-forming organs,52319,29867,15450,19135,20.0,7.0,5.5,3.0,44,11278,24986,12878.0,6504,31672,112374.0,2002
E00-E07 Disorders of thyroid gland,10494,2248,1983,7366,106.0,66.0,5.5,3.0,50,525,6980,2323.0,1638,1530,49383.0,2002
E10-E14 Diabetes Mellitus,53430,37186,31685,16031,42.0,23.0,10.4,4.0,51,5559,31147,18452.0,13022,16838,368493.0,2002
E15-E90 Endocrine nutritional and metabolic diseases,69759,38312,29339,22290,59.0,17.0,9.2,4.0,48,12138,33702,16425.0,18249,28334,368859.0,2002
F00-F03 Dementia,22967,11521,12608,2319,32.0,2.0,71.4,26.0,80,3,494,5316.0,22208,63,1105527.0,2002
F04-F09 Other organic including symptomatic mental disorders,4150,2412,3068,293,58.0,8.0,42.3,16.0,69,23,1202,928.0,3101,66,127962.0,2002
F10-F19 Mental and behavioural disorders due to psychoactive subst.,36794,29321,27497,5209,30.0,11.0,11.9,5.0,39,2081,35773,3345.0,977,72,400522.0,2002
"F20-F29 Schizophrenia, schizotypal and delusional disorders",33038,23182,23529,1996,37.0,3.0,101.8,34.0,41,94,32185,3653.0,1783,36,1950156.0,2002
F30-F39 Mood [affective] disorders,48248,19747,33941,3050,18.0,3.0,46.4,25.0,51,151,34605,9432.0,7942,1147,1838618.0,2002
"F40-F69 Neurotic, bahavioural & personality disorders",27629,11777,19061,2863,86.0,41.0,28.3,9.0,41,944,23960,2858.0,2192,1576,585293.0,2002
F70-F79 Mental retardation,16682,10010,2741,5638,12.0,4.0,164.5,3.0,24,5348,11647,256.0,88,377,303418.0,2002
F80-F99 Other mental and behavioural disorders,11470,6909,4840,2238,32.0,7.0,63.7,7.0,32,3398,6919,858.0,1071,907,321816.0,2002
G00-G09 Inflammatory diseases of the central nervous system,3636,2562,2466,312,35.0,12.0,15.4,8.0,29,1664,2235,650.0,269,223,50105.0,2002
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",12442,7142,6585,2165,38.0,13.0,51.3,16.0,71,465,2121,4167.0,9046,517,446272.0,2002
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11509,7700,5148,4037,54.0,28.0,27.4,13.0,65,433,3213,4609.0,6546,3108,211511.0,2002
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16397,5823,3978,6908,33.0,11.0,14.0,4.0,45,72,15718,2267.0,315,6700,120789.0,2002
G40-G47 Epilepsy migraine & other episodic disorders,75803,48575,55162,11870,86.0,52.0,5.1,1.0,46,14023,43382,16185.0,18350,2942,356636.0,2002
G50-G73  G90-G99 Other diseases & disorders of the nervous syst.,82353,34941,10403,61394,116.0,76.0,9.6,2.0,54,3124,50072,20343.0,13720,52825,259886.0,2002
G80-G83 Cerebral palsy & other paralytic syndromes,14311,9623,5698,4506,91.0,50.0,32.6,9.0,45,4026,5471,3551.0,5375,3309,290312.0,2002
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",111854,54300,17562,87649,104.0,65.0,2.8,1.0,52,15543,43031,28206.0,26687,71914,96755.0,2002
H10-H13 Disorders of conjunctiva (including conjunctivitis),4527,2342,1122,3177,127.0,88.0,1.8,1.0,44,835,2348,910.0,494,2961,2436.0,2002
H25-H28 Disorders of lens (including cataracts),287248,106070,1163,255621,169.0,140.0,1.4,1.0,75,399,23157,89008.0,175452,259668,37343.0,2002
H40-H42 Glaucoma,13364,6195,2137,10430,50.0,35.0,2.1,1.0,67,162,3402,4905.0,5015,8194,10871.0,2002
H60-H95 Diseases of the ear and mastoid process,83163,45431,12023,69116,114.0,74.0,1.8,1.0,24,46427,27369,7197.0,3584,43837,68708.0,2002
I00-I09 Rheumatic heart disease,4431,2198,893,2882,114.0,77.0,13.0,9.0,64,51,1488,2651.0,1400,1400,40162.0,2002
I10-I15 Hypertensive diseases,17298,11403,8690,4207,52.0,20.0,7.7,3.0,61,480,7703,7370.0,6395,3603,103989.0,2002
I20-I25 Ischaemic heart diseases,306874,263565,180881,95606,112.0,80.0,7.3,5.0,67,25,109952,171401.0,127845,54322,1854687.0,2002
I26-I28 Pulmonary heart disease & diseases of pulmonary circulation,18904,11813,15242,1224,44.0,13.0,11.4,8.0,62,176,9692,8756.0,8960,1800,202130.0,2002
I30-I52 Other forms of heart disease,200353,147417,141107,41198,96.0,58.0,10.4,6.0,70,2160,48875,87842.0,138965,26391,1775822.0,2002
I60-I69 Cerebrovascular diseases,101430,77763,81415,7026,45.0,22.0,27.8,12.0,73,425,23642,47336.0,92952,1278,2656783.0,2002
"I70-I79 Diseases of arteries, arterioles & capillaries",60023,45081,18564,33984,53.0,28.0,11.4,5.0,68,393,14989,29447.0,28129,9102,562028.0,2002
I80-I89 Diseases of veins & lymphatic system nec.,142062,71457,36890,89959,162.0,106.0,4.5,1.0,52,2949,95315,36076.0,20461,68919,324417.0,2002
I95-I99 Other & unspecified disorders of the circulatory system,9475,5827,7684,1072,44.0,18.0,11.4,6.0,74,44,1685,3327.0,8359,1008,100354.0,2002
J00-J06 Acute upper respiratory infections,77989,44622,71701,5178,162.0,109.0,1.3,1.0,10,62022,15288,1554.0,1553,965,97409.0,2002
J10-J18 Influenza & pneumonia,88644,67726,82974,1620,30.0,6.0,13.3,6.0,62,12605,23960,26647.0,68179,1063,1117888.0,2002
J20-J22 Other acute lower respiratory infections,94303,60058,89386,1381,55.0,6.0,8.5,4.0,46,32933,22381,20012.0,45933,651,751043.0,2002
J30-J39 Other diseases of upper respiratory tract,132021,70608,9771,119606,166.0,121.0,1.6,1.0,31,38690,78864,11978.0,3567,23598,150253.0,2002
J40-J47 Chronic lower respiratory diseases,165161,112812,152586,5221,43.0,11.0,7.8,4.0,56,25252,54904,75187.0,74232,4177,1242574.0,2002
J60-J70 Lung diseases due to external agents,5499,5581,4820,226,39.0,11.0,18.5,10.0,70,234,1696,2191.0,5169,150,104147.0,2002
J80-J99 Other diseases of the respiratory system,45503,36292,29414,8888,25.0,8.0,10.8,6.0,60,2620,19498,20019.0,20310,6014,427102.0,2002
"K00-K14 Diseases of oral cavity, salivary glands & jaws",171366,77722,8356,152684,82.0,53.0,2.0,1.0,29,54949,99052,13026.0,5564,138708,57254.0,2002
K20-K31 Diseases of oesophagusstomach & duodenum,268496,167970,44539,145983,64.0,35.0,7.8,4.0,57,7735,146297,94388.0,73685,211336,497934.0,2002
K35-K38 Diseases of appendix,35752,21653,34500,861,88.0,51.0,4.3,3.0,29,9718,26413,2054.0,858,42,154743.0,2002
K40-K46 Hernia,157156,112882,15318,127951,134.0,85.0,3.3,2.0,54,11673,74208,47534.0,29828,80631,246107.0,2002
K50-K52 Noninfective enteritis & colitis,114050,59157,61552,32880,67.0,36.0,6.5,2.0,43,21902,66482,22175.0,24325,42558,455441.0,2002
K55-K63 Other diseases of intestines,223502,115735,91991,96283,74.0,40.0,7.6,3.0,56,16664,101700,64508.0,71523,101570,869672.0,2002
K65-K67 Diseases of peritoneum,6492,3359,4161,1981,92.0,52.0,11.7,6.0,54,285,4213,1943.0,1979,679,67930.0,2002
K70-K77 Diseases of liver,21903,19688,13501,4852,42.0,20.0,12.9,8.0,53,520,21660,8189.0,2503,3761,241438.0,2002
"K80-K87 Disorders of gall bladder, biliary tract & pancreas",116463,51126,55760,54067,142.0,84.0,6.3,3.0,56,516,74783,38290.0,29371,7504,678465.0,2002
K90-K93 Other diseases of the digestive system,51843,38844,37353,8918,56.0,28.0,7.3,3.0,59,2783,27890,16798.0,26474,10797,261999.0,2002
L00-L14  L55-L99 Other infections and disorders of the skin,234516,130577,91285,129520,88.0,50.0,8.2,3.0,48,18870,145014,46252.0,47661,115568,931128.0,2002
L20-L30 Dermatitis and eczema,9496,5038,5353,2995,42.0,21.0,5.5,3.0,35,3559,3768,1445.0,1468,2394,38000.0,2002
L40-L45 Papulosquamous disorders (including Psoriasis),11674,6112,1356,6180,35.0,11.0,13.4,11.0,49,371,8263,2638.0,785,7360,56600.0,2002
L50-L54 Urticaria and erythems,4445,2374,3814,400,45.0,18.0,3.3,1.0,27,2142,1975,437.0,375,379,13098.0,2002
M00-M25 Arthropathies,340371,154509,35056,274489,197.0,157.0,7.2,5.0,56,12407,163185,107920.0,68777,123772,1510324.0,2002
M30-M36 Systemic connective tissue disorders,13753,4149,3881,5655,31.0,12.0,9.6,4.0,50,964,8578,3742.0,2342,6253,70478.0,2002
M40-M54 Dorsopathies,152246,67719,30976,88197,98.0,57.0,7.5,4.0,54,2248,94963,37637.0,25255,89657,452547.0,2002
M60-M79 Soft tissue disorders,137720,66417,49785,77578,155.0,104.0,2.8,1.0,53,4915,80673,36443.0,22379,54296,222408.0,2002
M80-M94 Osteopathies and chondropathies,40002,19606,10892,22253,109.0,60.0,9.8,3.0,50,4427,19950,8621.0,10754,13671,246515.0,2002
M95-M99 Other disorders of the musculoskeletal system & conn. tiss.,3753,1946,437,2943,202.0,162.0,7.0,2.0,43,103,2860,477.0,493,778,19771.0,2002
"N00-N08, N10-N16 Diseases of the kidney",27640,15101,14443,9670,62.0,33.0,6.2,3.0,45,3743,17611,6794.0,4828,5653,137797.0,2002
N17-N19 Renal failure,68678,47210,17542,14878,54.0,21.0,11.9,5.0,61,2544,26528,27893.0,26400,37206,358010.0,2002
N20-N23 Urolithiasis,51256,40453,21053,24212,60.0,33.0,3.4,2.0,51,448,39011,12883.0,4627,18020,112901.0,2002
N25-N29 Other disorders of kidney & ureter,3479,2166,1065,1786,62.0,33.0,6.7,3.0,49,570,1700,1054.0,734,837,17612.0,2002
N30-N39 Other diseases of the urinary system,163326,80067,64247,77627,93.0,54.0,9.4,4.0,59,12911,61953,43797.0,70642,62868,928938.0,2002
N40-N51 Diseases of male genital organs,114099,118768,21780,83185,113.0,69.0,3.5,2.0,48,21137,42858,33408.0,21232,56507,197538.0,2002
N60-N64 Disorders of breast,25295,2777,3243,21260,93.0,31.0,2.2,2.0,43,352,21201,3142.0,979,11258,30978.0,2002
N70-N77 Inflammatory diseases of female pelvic organs,25714,8,11545,13185,83.0,52.0,2.6,1.0,36,331,24483,1201.0,660,8391,45821.0,2002
N80-N98 Noninflammatory disorders of female genital tract,262710,57,29458,216769,82.0,49.0,3.1,2.0,45,1288,215645,32894.0,12058,144216,363567.0,2002
N99 Other disorders of the genitourinary system,2813,1093,540,2052,120.0,75.0,5.7,4.0,54,194,1413,1005.0,470,603,12425.0,2002
O00-O08 Pregnancy with abortive outcome,162409,14,67191,73465,7.0,5.0,1.1,1.0,30,580,145351,3.0,4216,73505,93462.0,2002
"O10-O75, O85-O92, O95-O99 Complications of labour and delivery",921399,26,65747,20442,16.0,1.0,1.9,1.0,28,569,938210,12.0,213,19763,1697718.0,2002
O80-O84 Delivery,99540,0,361,599,26.0,2.0,2.0,1.0,28,41,100103,0.0,17,3,195445.0,2002
P00-P04 Complications of fetus/neonate affected by maternal,9268,5170,80,10,16.0,7.0,3.3,2.0,0,9921,14,0.0,1,6,30441.0,2002
P05-P96 Other conditions originating in the perinatal period,141422,91338,17262,1846,115.0,66.0,6.9,3.0,0,163878,218,1.0,21,1489,941793.0,2002
Q00-Q89 Congenital malformations,93199,58321,8916,54608,135.0,86.0,4.3,2.0,11,77476,19468,2360.0,1166,27193,268966.0,2002
Q90-Q99 Chromosomal abnormalities nec.,1567,1014,252,420,68.0,20.0,12.3,3.0,13,1207,475,27.0,0,309,11159.0,2002
R00-R09 Symptoms & signs inv. the circulatory/respiratory system,299205,185948,246244,39441,92.0,49.0,2.9,1.0,55,26723,151888,96090.0,76539,32141,761305.0,2002
R10-R19 Symptoms & signs inv. the digestive system & abdomen,315192,122788,198460,77151,65.0,37.0,3.5,2.0,44,35979,203051,59527.0,50195,87920,784889.0,2002
R20-R23 Symptoms & signs inv. the skin & subcutaneous tissue,28428,14094,18377,8167,78.0,38.0,1.9,1.0,34,10322,12726,4075.0,3012,5957,43143.0,2002
R25-R29 Symptoms & signs inv. the nervous & musculoskeletal sys.,17451,8734,9078,2693,47.0,23.0,13.5,4.0,47,5763,4291,2988.0,7818,1843,188902.0,2002
R30-R39 Symptoms & signs involving the urinary system,119214,89383,33820,64157,57.0,33.0,4.9,3.0,62,3004,45368,40239.0,39911,71525,222749.0,2002
"R40-R46 Symptoms & signs inv. Cognition, perception etc.",32447,18618,28677,1700,63.0,26.0,11.3,4.0,68,1138,8654,9328.0,22878,927,312779.0,2002
R47-R49 Symptoms & signs inv. speech & voice,6147,3322,2007,3636,50.0,30.0,6.6,2.0,59,300,2730,2030.0,1742,2073,23409.0,2002
R50-R68 General symptoms & signs,212594,116211,174452,23768,48.0,20.0,7.2,2.0,51,43458,77942,40451.0,94024,18515,1284771.0,2002
R69 Unknown & unspecified causes of morbidity,247108,122179,100179,72912,107.0,39.0,19.4,3.0,49,31560,125944,54273.0,69135,53362,2663736.0,2002
R70-R89 Abnormal findings of bodily fluids or samples without diag.,25975,10379,2656,17122,38.0,26.0,2.6,1.0,49,623,16480,6596.0,2952,18262,17629.0,2002
R90-R94 Abnormal findings on diagnostic imaging/function studies,19708,11689,3072,11779,29.0,9.0,5.1,2.0,60,540,8113,8048.0,5015,12226,38297.0,2002
R95-R99 Ill-defined & unknown causes of mortality,45,25,30,2,0.0,0.0,11.9,2.0,59,10,5,8.0,26,0,493.0,2002
S00-S09 Injuries to the head,115013,83168,95253,13698,18.0,5.0,3.9,1.0,34,32358,64245,8311.0,18786,9545,379725.0,2002
S10-S19 Injuries to the neck,5680,3868,4884,210,41.0,16.0,12.3,2.0,42,524,4197,715.0,961,57,59259.0,2002
S20-S29 Injuries to the thorax,12894,9874,12155,164,52.0,7.0,8.8,4.0,52,426,8527,2533.0,4017,33,108976.0,2002
"S30-S39 Injuries to abdomen, lower back, lumbar spine & pelvis",23877,13412,21409,460,56.0,20.0,12.5,5.0,51,2931,12301,2894.0,10759,158,286255.0,2002
S40-S49 Injuries to the shoulder & upper arm,26383,14166,23181,1802,48.0,6.0,8.8,2.0,48,6291,9639,4174.0,10161,193,219821.0,2002
S50-S59 Injuries to the elbow & forearm,61461,34518,55767,3418,20.0,2.0,3.6,1.0,35,23950,23934,7380.0,9972,947,211154.0,2002
S60-S69 Injuries to the wrist & hand,63175,48824,53268,5943,32.0,3.0,1.7,1.0,33,9712,48615,3982.0,2952,3195,98197.0,2002
S70-S79 Injuries to the hip & thigh,77206,26154,68499,1310,54.0,3.0,24.8,16.0,76,2884,8539,13846.0,71767,66,1842745.0,2002
S80-S89 Injuries to the knee & lower leg,62343,37169,54685,4791,83.0,20.0,9.2,4.0,45,7875,38513,9261.0,13124,1867,534150.0,2002
S90-S99 Injuries to the ankle & foot,11539,7607,10257,770,60.0,8.0,6.0,2.0,39,2016,7543,1366.0,1714,312,65522.0,2002
T00-T07 Injuries involving multiple body regions,1503,1008,1386,28,3.0,1.0,10.7,3.0,43,256,911,205.0,371,4,15161.0,2002
T08-T14 Injuries to unspecified part of trunk limb or body,4559,2564,3926,367,69.0,19.0,6.7,2.0,46,875,2147,619.0,1468,198,26974.0,2002
T15-T19 Effects of foreign body entering through natural orifice,11452,6915,8309,2568,16.0,5.0,1.3,1.0,26,5980,4146,1046.0,957,2219,11553.0,2002
T20-T32 Burns and corrosions,8588,5762,6893,365,20.0,4.0,6.4,2.0,27,3734,4005,603.0,715,83,51900.0,2002
T33-T35 Frostbite,27,33,23,2,113.0,112.0,9.7,3.0,42,0,32,2.0,2,0,256.0,2002
T36-T50 Poisonings by drugs medicaments & biological substances,76104,36612,74847,184,119.0,17.0,2.0,1.0,33,8265,71627,3869.0,3315,62,146625.0,2002
T51-T65 Tox. effcts. of substnces. chiefly non-medicinal as to source,6432,4092,6077,62,108.0,98.0,2.1,1.0,29,2396,3616,543.0,577,200,13457.0,2002
T66-T78 Other and unspecified effects of external causes,7635,4183,6473,615,65.0,40.0,2.8,1.0,33,2828,3623,931.0,1038,792,19298.0,2002
T79 Certain early complications of trauma,2462,1970,2042,302,124.0,48.0,6.3,3.0,40,264,1980,323.0,251,101,14376.0,2002
T80-T88 Complications of surgical & medical care nec.,109934,63480,63625,36480,102.0,45.0,8.8,4.0,55,7933,53445,34565.0,30107,11687,836271.0,2002
T90-T98 Sequelae of injuriesof poisoning & other consequences,810,436,158,484,129.0,75.0,9.8,2.0,44,66,537,92.0,139,205,5898.0,2002
Z00-Z13 Examination and investigation,211504,119204,17877,85498,106.0,50.0,2.9,1.0,54,24702,77859,63852.0,47932,160998,118813.0,2002
Z20-Z29 Potential health hazards related to communicable diseases,6339,3528,370,1950,26.0,14.0,6.9,1.0,14,4880,692,404.0,362,3062,8414.0,2002
Z30-Z39 Health services in circumstances related to reproduction,581471,229260,7348,69032,99.0,66.0,1.6,1.0,10,396242,192977,125.0,425,71978,810188.0,2002
Z40-Z54 Persons encountering health services for specific care,133014,76969,11746,83306,87.0,36.0,10.3,2.0,51,16500,61587,30917.0,32803,57929,695860.0,2002
Z55-Z65 Potential health hazards reltd. to socioeconomic & psychosoc.l,896,417,629,104,29.0,12.0,13.7,2.0,34,330,361,84.0,213,70,10199.0,2002
Z70-Z76 Persons encountering health services in other circs.,59096,32319,10828,14648,59.0,7.0,9.0,4.0,40,24912,18392,7580.0,14771,3014,486563.0,2002
Z80-Z99 Persons with potential health hazards related to family,14450,6957,1083,7163,111.0,48.0,8.2,2.0,46,2538,6742,3242.0,2399,9410,38399.0,2002
A00-A09 Intestinal infectious diseases,41282,22446,37139,2502,62.0,39.0,3.8,1.0,21,27458,8617,4023.0,6113,3242,141503.0,2003
A15-A19 Tuberculosis,3955,3246,2632,856,22.0,7.0,18.1,10.0,42,239,3928,885.0,567,433,63347.0,2003
A20-A49 Certain bacterial diseases,18199,13121,16181,623,42.0,7.0,15.5,7.0,54,4152,5815,5637.0,11163,328,259198.0,2003
A50-A64 Infections with predominantly sexual mode of transmission,2754,1168,608,1939,79.0,50.0,9.0,2.0,36,105,2117,143.0,105,1535,5229.0,2003
A65-A79 Other infectious and parasitic disorders,240,114,134,83,45.0,10.0,5.0,2.0,35,39,186,38.0,16,76,863.0,2003
A80-A89 Viral infections of the central nervous system,2375,1415,2116,93,31.0,7.0,7.6,4.0,30,426,2334,224.0,52,39,17232.0,2003
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,65,43,64,0,0.0,0.0,4.0,4.0,31,2,66,2.0,2,0,256.0,2003
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,12180,6640,8076,3372,66.0,41.0,5.3,2.0,31,5581,4073,1652.0,2016,3376,44461.0,2003
B15-B19 Viral hepatitis,5762,4476,1509,2202,67.0,38.0,4.8,2.0,41,184,5487,490.0,133,2575,15136.0,2003
B20-B24 Human imrnunodeficiency virus [HIV] disease,3611,3159,1600,1063,13.0,1.0,15.7,8.0,38,134,3803,132.0,43,1265,36355.0,2003
B25-B34 Other viral diseases,41193,23346,40122,489,37.0,13.0,1.4,1.0,11,31905,9835,1093.0,588,482,56138.0,2003
B35-B49 Mycoses,3019,1877,1500,942,47.0,24.0,7.9,2.0,44,672,1558,797.0,688,1108,15022.0,2003
B50-B64 Protozoal diseases,2130,1582,1930,80,20.0,7.0,4.7,3.0,33,344,2040,175.0,14,55,9486.0,2003
B65-B83 Helminthiases,363,208,200,119,57.0,31.0,5.4,3.0,27,133,240,31.0,9,92,1373.0,2003
B85-B99 Other infectious and parasitic diseases,880,464,665,123,32.0,8.0,9.0,3.0,36,401,260,124.0,266,109,6505.0,2003
C00-C14 Malignant neoplasm of liporal cavity and pharynx,11268,8500,1844,6771,21.0,11.0,9.3,4.0,60,74,6152,4441.0,1978,1998,84442.0,2003
C15-C26 Malignant neoplasm of digestive organs,234902,161016,32068,92277,19.0,8.0,11.5,7.0,66,624,71270,123202.0,68493,141659,1063742.0,2003
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,71963,52963,21919,23979,15.0,7.0,10.7,6.0,66,176,21760,41392.0,23045,29667,456776.0,2003
C40-C41 Malignant neoplasm of bone and articular cartilage,5328,3091,954,1625,17.0,7.0,7.0,4.0,26,2048,2859,468.0,268,1132,28397.0,2003
C43-C44 Malignant neoplasms of skin,62527,34321,1295,55610,47.0,33.0,4.8,2.0,70,82,14368,20999.0,27546,48860,64046.0,2003
C45-C49 Malignant neoplasms of mesothelial and soft tissue,10982,7337,2528,4472,20.0,10.0,8.4,4.0,53,1279,4562,4082.0,2216,3810,59264.0,2003
C50 Malignant neoplasm of breast,111473,777,7136,55677,19.0,12.0,6.3,4.0,56,2,71723,31502.0,10602,67172,269366.0,2003
C51-C58 Malignant neoplasms of female genital organs,53417,27,7164,24647,20.0,12.0,7.8,5.0,61,144,23697,22633.0,9851,24968,217299.0,2003
C60-C63 Malignant neoplasms of male genital organs,40216,44158,8113,21636,43.0,24.0,8.6,5.0,67,231,9216,17891.0,16800,15927,204897.0,2003
C64-C68 Malignant neoplasms of urinary tract,87606,67736,7325,47445,45.0,27.0,6.7,3.0,69,2052,13676,38884.0,38210,41977,300850.0,2003
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16236,10298,4973,4417,28.0,12.0,12.3,6.0,36,5896,7340,3781.0,1514,5796,123448.0,2003
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",78869,36332,23363,25532,19.0,8.0,10.6,6.0,61,2518,32898,35035.0,20721,31451,503982.0,2003
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",211581,128739,25448,88077,11.0,4.0,9.3,3.0,53,22848,89453,72423.0,36421,154979,511743.0,2003
D00-D48 In situ & benign neoplasms and others of uncertainty,286377,124055,14637,212833,78.0,42.0,5.5,3.0,54,10803,155233,73752.0,56163,201246,452974.0,2003
D50-D64 Anaemias,111602,55088,34389,45221,32.0,13.0,7.2,3.0,57,7949,46596,30162.0,47767,62836,344573.0,2003
D65-D89 Diseases of the blood and blood-forming organs,52319,29867,15450,19135,20.0,7.0,5.5,3.0,44,11278,24986,12878.0,6504,31672,112374.0,2003
E00-E07 Disorders of thyroid gland,10494,2248,1983,7366,106.0,66.0,5.5,3.0,50,525,6980,2323.0,1638,1530,49383.0,2003
E10-E14 Diabetes Mellitus,53430,37186,31685,16031,42.0,23.0,10.4,4.0,51,5559,31147,18452.0,13022,16838,368493.0,2003
E15-E90 Endocrine nutritional and metabolic diseases,69759,38312,29339,22290,59.0,17.0,9.2,4.0,48,12138,33702,16425.0,18249,28334,368859.0,2003
F00-F03 Dementia,22967,11521,12608,2319,32.0,2.0,71.4,26.0,80,3,494,5316.0,22208,63,1105527.0,2003
F04-F09 Other organic including symptomatic mental disorders,4150,2412,3068,293,58.0,8.0,42.3,16.0,69,23,1202,928.0,3101,66,127962.0,2003
F10-F19 Mental and behavioural disorders due to psychoactive subst.,36794,29321,27497,5209,30.0,11.0,11.9,5.0,39,2081,35773,3345.0,977,72,400522.0,2003
"F20-F29 Schizophrenia, schizotypal and delusional disorders",33038,23182,23529,1996,37.0,3.0,101.8,34.0,41,94,32185,3653.0,1783,36,1950156.0,2003
F30-F39 Mood [affective] disorders,48248,19747,33941,3050,18.0,3.0,46.4,25.0,51,151,34605,9432.0,7942,1147,1838618.0,2003
"F40-F69 Neurotic, bahavioural & personality disorders",27629,11777,19061,2863,86.0,41.0,28.3,9.0,41,944,23960,2858.0,2192,1576,585293.0,2003
F70-F79 Mental retardation,16682,10010,2741,5638,12.0,4.0,164.5,3.0,24,5348,11647,256.0,88,377,303418.0,2003
F80-F99 Other mental and behavioural disorders,11470,6909,4840,2238,32.0,7.0,63.7,7.0,32,3398,6919,858.0,1071,907,321816.0,2003
G00-G09 Inflammatory diseases of the central nervous system,3636,2562,2466,312,35.0,12.0,15.4,8.0,29,1664,2235,650.0,269,223,50105.0,2003
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",12442,7142,6585,2165,38.0,13.0,51.3,16.0,71,465,2121,4167.0,9046,517,446272.0,2003
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11509,7700,5148,4037,54.0,28.0,27.4,13.0,65,433,3213,4609.0,6546,3108,211511.0,2003
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16397,5823,3978,6908,33.0,11.0,14.0,4.0,45,72,15718,2267.0,315,6700,120789.0,2003
G40-G47 Epilepsy migraine & other episodic disorders,75803,48575,55162,11870,86.0,52.0,5.1,1.0,46,14023,43382,16185.0,18350,2942,356636.0,2003
G50-G73  G90-G99 Other diseases & disorders of the nervous syst.,82353,34941,10403,61394,116.0,76.0,9.6,2.0,54,3124,50072,20343.0,13720,52825,259886.0,2003
G80-G83 Cerebral palsy & other paralytic syndromes,14311,9623,5698,4506,91.0,50.0,32.6,9.0,45,4026,5471,3551.0,5375,3309,290312.0,2003
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",111854,54300,17562,87649,104.0,65.0,2.8,1.0,52,15543,43031,28206.0,26687,71914,96755.0,2003
H10-H13 Disorders of conjunctiva (including conjunctivitis),4527,2342,1122,3177,127.0,88.0,1.8,1.0,44,835,2348,910.0,494,2961,2436.0,2003
H25-H28 Disorders of lens (including cataracts),287248,106070,1163,255621,169.0,140.0,1.4,1.0,75,399,23157,89008.0,175452,259668,37343.0,2003
H40-H42 Glaucoma,13364,6195,2137,10430,50.0,35.0,2.1,1.0,67,162,3402,4905.0,5015,8194,10871.0,2003
H60-H95 Diseases of the ear and mastoid process,83163,45431,12023,69116,114.0,74.0,1.8,1.0,24,46427,27369,7197.0,3584,43837,68708.0,2003
I00-I09 Rheumatic heart disease,4431,2198,893,2882,114.0,77.0,13.0,9.0,64,51,1488,2651.0,1400,1400,40162.0,2003
I10-I15 Hypertensive diseases,17298,11403,8690,4207,52.0,20.0,7.7,3.0,61,480,7703,7370.0,6395,3603,103989.0,2003
